File:Sim_161.txt has rejection ratio 0.4460013671875 and time taken 43 min, 44 sec
File:Sim_162.txt has rejection ratio 0.445603125 and time taken 44 min, 16 sec
File:Sim_163.txt has rejection ratio 0.4461732421875 and time taken 44 min, 48 sec
File:Sim_164.txt has rejection ratio 0.4466513671875 and time taken 45 min, 22 sec
File:Sim_165.txt has rejection ratio 0.447005078125 and time taken 45 min, 52 sec
File:Sim_166.txt has rejection ratio 0.447328125 and time taken 46 min, 24 sec
File:Sim_167.txt has rejection ratio 0.4479150390625 and time taken 46 min, 54 sec
File:Sim_168.txt has rejection ratio 0.4482912109375 and time taken 47 min, 26 sec
File:Sim_169.txt has rejection ratio 0.4494357421875 and time taken 47 min, 56 sec
File:Sim_170.txt has rejection ratio 0.4510142578125 and time taken 48 min, 28 sec
File:Sim_171.txt has rejection ratio 0.4519677734375 and time taken 48 min, 59 sec
File:Sim_172.txt has rejection ratio 0.453722265625 and time taken 49 min, 31 sec
File:Sim_173.txt has rejection ratio 0.4551830078125 and time taken 50 min, 1 sec
File:Sim_174.txt has rejection ratio 0.45620625 and time taken 50 min, 33 sec
File:Sim_175.txt has rejection ratio 0.4578083984375 and time taken 51 min, 5 sec
File:Sim_176.txt has rejection ratio 0.4586650390625 and time taken 51 min, 35 sec
File:Sim_177.txt has rejection ratio 0.459290625 and time taken 52 min, 7 sec
File:Sim_178.txt has rejection ratio 0.46103984375 and time taken 52 min, 37 sec
File:Sim_179.txt has rejection ratio 0.4618287109375 and time taken 53 min, 9 sec
File:Sim_180.txt has rejection ratio 0.463059375 and time taken 53 min, 39 sec
File:Sim_181.txt has rejection ratio 0.4640849609375 and time taken 54 min, 11 sec
File:Sim_182.txt has rejection ratio 0.4654068359375 and time taken 54 min, 41 sec
File:Sim_183.txt has rejection ratio 0.466159375 and time taken 55 min, 13 sec
File:Sim_184.txt has rejection ratio 0.467383203125 and time taken 55 min, 45 sec
File:Sim_185.txt has rejection ratio 0.468238671875 and time taken 56 min, 19 sec
File:Sim_186.txt has rejection ratio 0.46963203125 and time taken 56 min, 49 sec
File:Sim_187.txt has rejection ratio 0.470453515625 and time taken 57 min, 19 sec
File:Sim_188.txt has rejection ratio 0.4714484375 and time taken 57 min, 47 sec
File:Sim_189.txt has rejection ratio 0.4728634765625 and time taken 58 min, 17 sec
File:Sim_190.txt has rejection ratio 0.4735765625 and time taken 58 min, 45 sec
File:Sim_191.txt has rejection ratio 0.4745380859375 and time taken 59 min, 15 sec
File:Sim_192.txt has rejection ratio 0.4759330078125 and time taken 59 min, 43 sec
File:Sim_193.txt has rejection ratio 0.4768326171875 and time taken 60 min, 13 sec
File:Sim_194.txt has rejection ratio 0.47780859375 and time taken 60 min, 43 sec
File:Sim_195.txt has rejection ratio 0.47863828125 and time taken 61 min, 13 sec
File:Sim_196.txt has rejection ratio 0.47921796875 and time taken 61 min, 41 sec
File:Sim_197.txt has rejection ratio 0.480455078125 and time taken 62 min, 21 sec
File:Sim_198.txt has rejection ratio 0.481529296875 and time taken 62 min, 51 sec
File:Sim_199.txt has rejection ratio 0.4823759765625 and time taken 63 min, 23 sec
File:Sim_200.txt has rejection ratio 0.4839263671875 and time taken 63 min, 53 sec
File:Sim_201.txt has rejection ratio 0.4846845703125 and time taken 64 min, 25 sec
File:Sim_202.txt has rejection ratio 0.485824609375 and time taken 64 min, 56 sec
File:Sim_203.txt has rejection ratio 0.4867890625 and time taken 65 min, 26 sec
File:Sim_204.txt has rejection ratio 0.48738359375 and time taken 65 min, 56 sec
File:Sim_205.txt has rejection ratio 0.4883806640625 and time taken 66 min, 28 sec
File:Sim_206.txt has rejection ratio 0.4891623046875 and time taken 66 min, 58 sec
File:Sim_207.txt has rejection ratio 0.490537890625 and time taken 67 min, 30 sec
File:Sim_208.txt has rejection ratio 0.4916896484375 and time taken 68 min, 0 sec
File:Sim_209.txt has rejection ratio 0.4925119140625 and time taken 68 min, 32 sec
File:Sim_210.txt has rejection ratio 0.493095703125 and time taken 69 min, 2 sec
File:Sim_211.txt has rejection ratio 0.4938701171875 and time taken 69 min, 32 sec
File:Sim_212.txt has rejection ratio 0.4948173828125 and time taken 70 min, 0 sec
File:Sim_213.txt has rejection ratio 0.495983984375 and time taken 70 min, 30 sec
File:Sim_214.txt has rejection ratio 0.4968291015625 and time taken 71 min, 0 sec
File:Sim_215.txt has rejection ratio 0.4979708984375 and time taken 71 min, 30 sec
File:Sim_216.txt has rejection ratio 0.4984328125 and time taken 72 min, 0 sec
File:Sim_217.txt has rejection ratio 0.4995228515625 and time taken 72 min, 30 sec
File:Sim_218.txt has rejection ratio 0.5008060546875 and time taken 72 min, 58 sec
File:Sim_219.txt has rejection ratio 0.5014205078125 and time taken 73 min, 28 sec
File:Sim_220.txt has rejection ratio 0.5022779296875 and time taken 73 min, 56 sec
File:Sim_221.txt has rejection ratio 0.503016796875 and time taken 74 min, 26 sec
File:Sim_222.txt has rejection ratio 0.5036240234375 and time taken 74 min, 54 sec
File:Sim_223.txt has rejection ratio 0.50472578125 and time taken 75 min, 24 sec
File:Sim_224.txt has rejection ratio 0.5056041015625 and time taken 75 min, 52 sec
File:Sim_225.txt has rejection ratio 0.5067576171875 and time taken 76 min, 22 sec
